,Family,Subfamily,Genus,Species,,Common Name,Habitat,Abundance,Occurrence,F,FE,OP,UG,Remarks
86,Lycaenidae,Theclinae,Zesius,chrysomallus,"Hubner, 1819",Redspot,Deciduous Forests,Rare,RN,yes,no,no,no,One record from Sahajkhol RF (5-11-2024)
87,Riodinidae,Riodininae,Abisara,bifasciata,"Moore, 1877",Two Spot Plum Judy,Deciduous Forests,Common,CN,yes,no,no,no,"Common in hilly slopes, upto 1200m"
88,Nymphalidae,Acraeinae,Acraea,terpsicore,"Linnaeus, 1758",Tawny Coaster,"Forest edges, open habitats, grasslands",Common,CN,no,yes,yes,no,Common in forest edges and open habitats
89,Nymphalidae,Biblidinae,Ariadne,ariadne,"Moore, 1884",Angled Castor,"Forest edges, open habitats, grasslands",Common,CW,yes,yes,yes,no,Recorded across multiple habitats
90,Nymphalidae,Biblidinae,Ariadne,merione,"Cramer, 1777",Common Castor,"Forest edges, open habitats, grasslands",Common,CW,yes,yes,yes,yes,Rarer in occurrence than Angled Castor
91,Nymphalidae,Charaxinae,Charaxes,psaphon,"Fabricius, 1793",Tawny Rajah,Forests,Rare,RN,yes,no,no,no,One record from Brahmani RF (11-12-22)
92,Nymphalidae,Charaxinae,Eriboea,solon,"Fabricius, 1793",Black Rajah,Forests,Uncommon,UN,yes,no,no,no,"Recorded from forested areas, close to streams."
93,Nymphalidae,Charaxinae,Polyura,bharata,"Drury, 1773",Indian Nawab,Forests,Common,UN,yes,no,no,no,"Recorded from forested areas, close to streams."
94,Nymphalidae,Cyrestinae,Cyrestis,thyodamas,"Doyere, 1840",Common Map,Forests,Rare,RN,yes,no,no,no,One record from near Semelpadar in Karlapat (26-12-2023) 
95,Nymphalidae,Danainae,Danaus,chrysippus,"Linnaeus, 1758",Plain Tiger,"Forest edges, grasslands, open habitats",Abundant,CW,yes,yes,yes,yes,"Seen across habitats, among the most common"
96,Nymphalidae,Danainae,Danaus,genutia,"Cramer, 1779",Striped Tiger,"Forests, forest edges",Common,CW,yes,yes,yes,no,Records from across habitats
97,Nymphalidae,Danainae,Euploea,core,"Cramer, 1780",Common Crow,"Forests, forest edges",Common,CW,yes,yes,yes,yes,"Seen across habitats, among the most common"
98,Nymphalidae,Danainae,Euploea,klugii,"Moore, 1857",King Crow,Forests,Rare,RN,yes,no,no,no,One record from Jakam (21-3-2025)
99,Nymphalidae,Danainae,Euploea,mulciber,"Cramer, 1777",Striped Blue Crow,Forests,Uncommon,UN,yes,no,no,no,"Seen only in forested patches, up to high elevations"
100,Nymphalidae,Danainae,Parantica,aglea,"Stoll, 1782",Glassy Tiger,"Forests, forest edges",Uncommon,CN,yes,yes,no,no,Records from forest patches and forest edges
101,Nymphalidae,Danainae,Tirumala,limniace,"Cramer, 1775",Blue Tiger,"Forests, forest edges",Common,CN,yes,no,no,no,Seen in Karlapat
