id,observed_on,latitude,longitude,taxon_family_name,taxon_subfamily_name,taxon_genus_name,taxon_species_name
251280088,2024-11-10,19.7805477746,83.1134441382,Nymphalidae,Satyrinae,Lethe,Lethe europa
251285304,2024-11-09,19.8075626905,83.1237399134,Papilionidae,Papilioninae,Pachliopta,Pachliopta aristolochiae
251285653,2024-11-06,19.618306,82.548931,Lycaenidae,Theclinae,Amblypodia,Amblypodia anita
251425674,2024-11-12,20.1594544,83.6264508,Nymphalidae,Limenitidinae,Euthalia,Euthalia nais
251425697,2024-11-12,20.1593951,83.626489,Nymphalidae,Nymphalinae,Junonia,Junonia iphita
251426106,2024-11-12,20.1592087997,83.6275478,Nymphalidae,Nymphalinae,Junonia,Junonia almana
251426880,2024-11-12,20.159254,83.6269269722,Nymphalidae,Satyrinae,Melanitis,Melanitis leda
251426997,2024-11-12,20.159341,83.6268759722,Lycaenidae,Polyommatinae,Euchrysops,Euchrysops cnejus
251427182,2024-11-12,20.159454,83.626732,Hesperiidae,Hesperiinae,Parnara,Parnara bada
251445946,2024-11-09,19.7416694444,83.1034666667,Lycaenidae,Polyommatinae,Everes,Everes lacturnus
251633523,2024-11-14,19.8044696,83.1167564997,Nymphalidae,Limenitidinae,Neptis,Neptis hylas
251633629,2024-11-14,19.8043648997,83.1168574997,Nymphalidae,Limenitidinae,Neptis,Neptis hylas
251633788,2024-11-14,19.7457968,83.1090154997,Nymphalidae,Danainae,Parantica,Parantica aglea
251634201,2024-11-14,19.7457934,83.1098808997,Hesperiidae,Hesperiinae,Halpe,Halpe porus
251634271,2024-11-14,19.7459129,83.1098755,Hesperiidae,Hesperiinae,Borbo,Borbo cinnara
251634332,2024-11-14,19.7459212997,83.1098800997,Nymphalidae,Nymphalinae,Junonia,Junonia lemonias
251634382,2024-11-14,19.7459185997,83.1098771997,Hesperiidae,Hesperiinae,Iambrix,Iambrix salsala
251634486,2024-11-14,19.7459555,83.1099363,Nymphalidae,Nymphalinae,Junonia,Junonia lemonias
251634537,2024-11-14,19.7458525997,83.1098072,Lycaenidae,Polyommatinae,Acytolepis,Acytolepis puspa
251634756,2024-11-14,19.7457449997,83.1097101,Nymphalidae,Limenitidinae,Neptis,Neptis hylas
251634767,2024-11-14,19.7450803997,83.1095705997,Nymphalidae,Satyrinae,Lethe,Lethe europa
251634834,2024-11-14,19.7459522,83.1087746997,Nymphalidae,Satyrinae,Orsotriaena,Orsotriaena medus
251635012,2024-11-14,19.7458476,83.1091104,Lycaenidae,Polyommatinae,Jamides,Jamides alecto
251635024,2024-11-14,19.7457105,83.1092215997,Nymphalidae,Nymphalinae,Junonia,Junonia lemonias
251635118,2024-11-14,19.745768,83.1094793,Nymphalidae,Limenitidinae,Neptis,Neptis hylas
251635274,2024-11-14,19.8042057997,83.1168935,Nymphalidae,Danainae,Euploea,Euploea core
251636538,2024-11-14,19.804224,83.116966,Lycaenidae,Polyommatinae,Euchrysops,Euchrysops cnejus
251648722,2024-11-13,19.7462113676,83.111888431,Lycaenidae,Polyommatinae,Ancema,Ancema blanka
251720261,2024-11-14,19.7448148234,83.1082209081,Nymphalidae,Danainae,Parantica,Parantica aglea
251720876,2024-11-13,19.7419661465,83.1033198601,Lycaenidae,Polyommatinae,Anthene,Anthene emolus
251745745,2024-11-15,19.7812559722,83.3125859722,Lycaenidae,Polyommatinae,Zizeeria,Zizeeria karsandra
251756004,2024-11-15,19.7813444444,83.1164694444,Nymphalidae,Limenitidinae,Pantoporia,Pantoporia hordonia
251763998,2024-11-12,20.1423054927,83.0902544626,Lycaenidae,Polyommatinae,Freyeria,Freyeria putli
251764009,2024-11-12,20.142174548,83.0904153952,Nymphalidae,Nymphalinae,Junonia,Junonia orithya
251765353,2024-11-11,19.8139748468,83.1026988051,Papilionidae,Papilioninae,Papilio,Papilio crino
251765362,2024-11-11,19.8142612309,83.1031815818,Lycaenidae,Polyommatinae,Castalius,Castalius rosimon
251771623,2024-11-15,19.7815192997,83.3126740997,Nymphalidae,Biblidinae,Ariadne,Ariadne merione
251771699,2024-11-15,19.7815936997,83.312611,Nymphalidae,Biblidinae,Ariadne,Ariadne merione
251771818,2024-11-15,19.7815758997,83.3125988997,Nymphalidae,Limenitidinae,Neptis,Neptis hylas
251772003,2024-11-15,19.7815344997,83.3126268,Nymphalidae,Satyrinae,Elymnias,Elymnias hypermnestra
251836747,2024-11-15,19.7815320997,83.312638,Nymphalidae,Satyrinae,Mycalesis,Mycalesis perseus
251837201,2024-11-15,19.7614263,83.3113989,Nymphalidae,Satyrinae,Elymnias,Elymnias hypermnestra
251837741,2024-11-15,19.7603411,83.312978,Nymphalidae,Limenitidinae,Neptis,Neptis hylas
251838041,2024-11-15,19.7588599722,83.314435,Nymphalidae,Satyrinae,Ypthima,Ypthima huebneri
251838190,2024-11-15,19.7589502,83.3149405,Nymphalidae,Satyrinae,Ypthima,Ypthima huebneri
251845305,2024-11-16,19.6232806,83.3345331997,Hesperiidae,Hesperiinae,Hyarotis,Hyarotis adrastus
251845334,2024-11-16,19.6234636,83.3345970997,Nymphalidae,Danainae,Danaus,Danaus genutia
251850517,2024-11-16,19.6129773,83.3313433,Papilionidae,Papilioninae,Graphium,Graphium agamemnon
251850639,2024-11-16,19.6183976997,83.3201521997,Nymphalidae,Limenitidinae,Tanaecia,Tanaecia lepidea
251850685,2024-11-16,19.6188894,83.3225563997,Nymphalidae,Satyrinae,Orsotriaena,Orsotriaena medus
251850767,2024-11-16,19.6188001,83.3236949,Nymphalidae,Biblidinae,Ariadne,Ariadne ariadne
251850883,2024-11-16,19.6209962,83.3287105997,Lycaenidae,Polyommatinae,Leptotes,Leptotes plinius
251851295,2024-11-16,19.622581,83.332096,Lycaenidae,Polyommatinae,Jamides,Jamides alecto
251851401,2024-11-16,19.622878,83.3326519722,Lycaenidae,Polyommatinae,Luthrodes,Luthrodes pandava
251851497,2024-11-16,19.6228970997,83.3327139997,Lycaenidae,Polyommatinae,Castalius,Castalius rosimon
251853193,2024-11-16,19.6171353,83.3229268997,Nymphalidae,Satyrinae,Melanitis,Melanitis leda
251854277,2024-11-16,19.6205089722,83.3231499722,Lycaenidae,Polyommatinae,Castalius,Castalius rosimon
251854321,2024-11-16,19.6188299722,83.3238769722,Nymphalidae,Limenitidinae,Neptis,Neptis hylas
251854357,2024-11-16,19.6186387997,83.3231751997,Pieridae,Coliadinae,Eurema,Eurema hecabe
251855288,2024-11-16,19.6203627,83.3251977,Nymphalidae,Nymphalinae,Junonia,Junonia iphita
251855388,2024-11-16,19.6203977,83.3251948,Nymphalidae,Nymphalinae,Junonia,Junonia iphita
251855403,2024-11-16,19.6203809722,83.325209,Nymphalidae,Limenitidinae,Neptis,Neptis hylas
251857023,2024-11-16,19.6213003,83.3294611,Lycaenidae,Polyommatinae,Castalius,Castalius rosimon
251857074,2024-11-16,19.621286,83.329592,Lycaenidae,Polyommatinae,Luthrodes,Luthrodes pandava
251857128,2024-11-16,19.6215642,83.3302429997,Nymphalidae,Nymphalinae,Junonia,Junonia iphita
251857201,2024-11-16,19.6218004997,83.3310587997,Lycaenidae,Polyommatinae,Castalius,Castalius rosimon
251984328,2024-11-17,19.901011,83.169396,Nymphalidae,Nymphalinae,Junonia,Junonia almana
